id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
V5BJI3JASA,mutation,0.2149224113465179,0.03188441854840726,0,9,26,1072,4
PX4CM4PV3B,crossover,0.17122475984400276,0.08514082823458771,0,8,23,653,3
20SB0PWZS5,crossover,0.2581835135101882,0.01751144611638205,1,16,39,1134,5
FT04CTYASQ,crossover,0.25864892978395504,0.018347839623716743,1,15,38,1102,5
00P09V96IM,mutation,0.21216073771260802,0.036347500479527645,0,8,30,669,4
8SHCUSD5GB,crossover,0.17861092788651634,0.06455832029110803,0,7,26,288,3
FBBOYYOZB5,crossover,0.21216073771260802,0.036347500479527645,0,8,30,457,4
ZAATCEW8BP,mutation,0.17437398319487818,0.08935650169989076,0,7,26,317,2
FVO6YSTBA5,crossover,0.2222813603536804,0.024918758287488636,1,11,36,1208,5
CVCAGT94JS,crossover,0.22991554974113115,0.03035201498906121,0,11,31,914,5
3ZTH5JINHU,crossover,0.3292540575123867,0.00046145848680534396,1,13,37,1104,6
F3DWFEZ25H,crossover,0.22760833082404086,0.025286743632011874,1,12,37,656,5
D0VLB7TZI5,crossover,0.30572408346152335,0.011234846231468688,1,6,34,1219,6
NDKSB6KKO6,crossover,0.2770988718089663,0.007835759696882938,0,6,30,1048,5
65X30ITT11,crossover,0.3441186660771385,0.002335438621851451,1,12,29,1157,6
12COABNV2B,mutation,0.27383956695533607,0.010940527452610163,1,9,27,917,5
ZTR14E94UZ,mutation,0.3038434229060293,0.0017867617011694918,1,7,26,1028,6
