id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
1TCEBY6J4L,105,crossover,0.24825698361535586,0.016641474851824524,0.2517233049784624,0.01811967246749855,0.7346252066433867,45,11,3,0.09182715829932749,121,0.7458735571620703
W5CKGHSC1X,105,crossover,0.24199243692049932,0.02304902287496132,0.25000220689280805,0.02835972618581314,0.5249299826728389,20,14,6,0.05864023421496616,129,0.24455311968619312
4CE5Q4VW8U,105,mutation,0.21505920961950964,0.03173871128990026,0.2192415733677151,0.03066980023501763,0.21579011976746537,27,10,8,0.12431701134302067,140,0.6351596979078304
LP4RYZDAYK,105,crossover,0.21735966814116314,0.043857561114946084,0.2248164085117571,0.03704138921530226,0.6834925246033619,43,8,14,0.16578496148185656,170,0.7412129461946584
CZ4W7ODPTN,105,crossover,0.2161970972910614,0.028749910737663947,0.21922509546092073,0.032213269169790906,0.7146365809186054,55,6,7,0.10313092630255753,150,0.2646512281488032
KBZDH79YIJ,105,inicialization,0.29220656800641154,0.00964033229392302,0.29142648547201877,0.0187044187044187,0.8080483338528788,9,6,3,0.04097813949222883,108,0.2723809207004083
YZS0MDIV6N,105,inicialization,0.27265805405315646,0.012373247482802129,0.27201360882710224,0.020056702665398315,0.1064679753230503,37,22,3,0.06461814925440755,128,0.2112023947817374
YQLSG63EZG,105,crossover,0.2492006842076676,0.022874961319654375,0.2479838792822514,0.02623617406226102,0.267044182543151,18,38,12,0.05052570913477593,151,0.22376902166826476
X5Y01C1G0Y,105,inicialization,0.26284455185303146,0.021421472947561353,0.2669396933386674,0.025266260048868745,0.1815199842801598,62,8,9,0.04232563517537132,175,0.1551295556798659
W9THGI5ZAY,105,crossover,0.212884352187653,0.03414433124657827,0.22500405885040498,0.03434055173185608,0.6544823892173302,27,25,11,0.06476371210164054,162,0.7799324291977486
OBBZQBITL0,105,mutation,0.2744811767575015,0.01629335174121064,0.2706810647523331,0.023337623337623337,0.7212827060555336,36,13,3,0.05720563190913311,111,0.3009095982324264
Y8XE7M09YI,105,crossover,0.21372030728136981,0.0404596415224584,0.2240767584578114,0.03627105366235801,0.8211382976439217,48,14,10,0.07095973312701187,164,0.8395694332127503
90NXLZ6JCI,105,inicialization,0.25621065818298694,0.009128561567208586,0.2658605766884007,0.021021021021021023,0.3941765962212114,51,22,14,0.015507300642713072,78,0.55686034912957
HN7MJ2R9PL,105,crossover,0.29625323203897413,0.013857977672514343,0.301661231915511,0.014656892917762484,0.32869635334874076,23,15,6,0.021176530523499305,91,0.3600306320511161
PXT6DS93VC,105,crossover,0.278725529776513,0.006385232439123083,0.2821922223505148,0.02044000522261392,0.6756348661172347,40,21,2,0.10046826745503003,102,0.4498060321916719
ZMBQACCETQ,105,inicialization,0.21913197419999708,0.031994596653257476,0.2206008071718386,0.03627105366235801,0.4699698476966214,36,33,6,0.13198426056394508,151,0.3729508086687203
4YQ6B1RLNT,105,mutation,0.20839198798871905,0.03652912332484348,0.22157859195328322,0.02892768544942458,0.48770074848188494,34,28,12,0.12216521302078862,157,0.44612027442459734
PSV8AAYUEY,105,inicialization,0.2798857293976278,0.010326164575944395,0.28424135788931115,0.018124335515639863,0.7624741105993245,4,30,4,0.09972112206008914,68,0.3028356853409227
KSZQVY3KK7,105,crossover,0.2932787201986957,0.005627990288257834,0.29366294288395756,0.016772051554660248,0.8140405307548532,28,8,2,0.06752098417020802,111,0.6785267084701488
23P7EVMSDD,105,mutation,0.2067235549379295,0.029435743019685316,0.2250154853240719,0.030668867625389364,0.6193955501818184,36,23,7,0.10679862876925389,134,0.6883651373303941
69AWM77S92,105,inicialization,0.24373257366039403,0.016897360215181734,0.25300849684070237,0.026235241452632757,0.6782934941194282,41,7,3,0.11865832160931392,120,0.24421795957926082
8FW480H4DP,105,inicialization,0.22357811719918064,0.029783866130299205,0.22102956642827298,0.02758099714621454,0.9574267641461757,12,18,5,0.10742619087553881,171,0.3726581253684622
U1GYRIEDWF,105,inicialization,0.288916061738155,0.012547309038109064,0.2915422737626664,0.01793221793221793,0.08965779103450355,34,40,9,0.012504816632365974,199,0.30729790245503014
SFTOF29J86,105,inicialization,0.21058067926990498,0.04276260979267335,0.21977451086488076,0.03820062298323168,0.9272166082282466,22,21,16,0.17452783866040208,181,0.588409153435335
SX1IHT2OCE,105,crossover,0.26741859953459424,0.013407202875437386,0.2723549188844776,0.016774849383545037,0.5823612411284742,35,11,6,0.03888278724004289,77,0.44220541077770836
NI1EP6GIZD,105,crossover,0.23343761130707197,0.022608662017090768,0.23581269154358286,0.027196761979370678,0.6781985651976751,7,17,11,0.10601813089372043,135,0.6559833101854147
B2EI6V72CJ,105,mutation,0.21922328976070704,0.037879960010473446,0.22007083981981412,0.030279969410404194,0.13360498283198488,48,9,9,0.1376749707247128,196,0.6219986459425162
UKRSQEZZ37,105,mutation,0.21340788859705617,0.04575141034490966,0.22119721016148153,0.03337157032809207,0.2537943028299956,37,17,15,0.13150767702223237,153,0.6603966732160372
67TD386T5R,105,crossover,0.2840625280746373,0.01297725595677323,0.28586808915837536,0.018897468897468895,0.7132697266088781,20,11,9,0.02716474962435604,113,0.2780572153564595
6AKE9AZ1XM,105,crossover,0.23288001070158582,0.02321267049106187,0.23561801601229404,0.0241051610616828,0.6600586641404435,45,21,7,0.10241523223753705,66,0.43759069199180844
WGAT7VSKWK,105,inicialization,0.2129037701393418,0.03131917831044251,0.22399811148072502,0.03511275250405685,1,31,20,-1,0.1,100,1.0
UMTM1DKDTY,105,crossover,0.21827326241374567,0.036252410083073484,0.22181124665032947,0.03491503926286534,0.7992937072685584,42,21,14,0.1515695358117214,135,0.6847416603951647
RWFOKDZKUF,105,crossover,0.26527862280078196,0.013652674299588205,0.27046254112189694,0.021405256187864884,0.5993943146211294,29,31,5,0.030688581263224483,155,0.2898705260557716
SWT4IPLX0B,105,inicialization,0.24447049467345006,0.017071421770488683,0.2493247660156278,0.023528808311417005,0.8953188329631205,43,3,3,0.14584051008236235,88,0.37352969742881215
CZALUNWFP1,105,mutation,0.21249737537244706,0.04319255671133751,0.22277405484422708,0.03684927163188033,0.6019826494671972,38,20,8,0.12365481156169351,172,0.49403592513040906
4OKDI4XDRY,105,crossover,0.28166687631549425,0.0063034086310728155,0.28258530158989215,0.010200884113927597,0.3802036215661267,31,33,5,0.025998876170663418,87,0.8982436683124948
C43307H795,105,inicialization,0.21267811181192442,0.05215895836804646,0.22310491601675053,0.038973756365060716,0.03551413815903404,50,27,16,0.09807366830214703,170,0.8918151055090586
1C37M1P9SM,105,inicialization,0.2826812616819382,0.017778081930922854,0.28547741305878327,0.02238076585902673,0.3403548091443528,21,25,15,0.029039881165957515,136,0.18612859438087062
7C7CB8AL71,105,crossover,0.2756835474413202,0.006139761014972267,0.28191138376418834,0.015033667207580252,0.2456308515240286,43,15,5,0.038478496068592785,67,0.5989461422834814
X2E5Z3B18D,105,crossover,0.21201030768299223,0.04635541881888077,0.22053456834175011,0.03607800346930782,0.3428926675591596,38,24,13,0.10866116561913504,186,0.6056381327606501
95QFUFZ4R4,105,crossover,0.2063681055719715,0.035157458760800744,0.21992084067652728,0.035884020666629365,0.7608514381288143,38,6,8,0.1143572457797216,119,0.648892044322742
C32UUS8HOJ,105,inicialization,0.25248205920917066,0.014072207279045963,0.2533850363100575,0.023915841307145656,0.7065892477052285,4,21,17,0.09030540925022171,177,0.6007024995780401
S5JYI0MDZB,105,crossover,0.21362156296233314,0.043530265882745,0.22151232358317674,0.03337157032809207,0.6723865409915927,30,24,10,0.1141832704187847,144,0.8264954761211503
151D946I0X,105,crossover,0.21432312742078707,0.03967115755397396,0.22182896023760168,0.03819875776397515,0.5786176740581411,47,38,14,0.14957670144943078,182,0.48777161675592395
U6OFVRHRBG,105,crossover,0.23208957258431662,0.019200328485396684,0.23659150709445553,0.024299143864361255,0.7503658053797584,29,26,8,0.03826834145011882,144,0.5067054285445307
ZAQD8O9KAL,105,inicialization,0.25782082999411515,0.014420330389659855,0.259969930390639,0.020246022419935464,0.7664192065373189,9,13,3,0.14835140341641914,60,0.511022437511819
52KDRT2A9V,105,crossover,0.27377768534816527,0.009722156101973294,0.2753905355883871,0.010393934306977784,0.76019071047902,47,20,6,0.017062616620600046,116,0.9468655141423341
UKYJLU3X5J,105,crossover,0.27305761815458995,0.009558508485872752,0.28225937923712596,0.015033667207580252,0.2614376063906086,45,19,5,0.05045804878828934,68,0.6194035190972469
G11IWBAH4B,105,inicialization,0.2779954354462493,0.018719799576301446,0.28347738268925793,0.019291030160595378,0.132700471354803,56,17,8,0.014473125128512187,138,0.3616685362873182
A8YAXHZYNA,105,crossover,0.22371397522565228,0.027306836304777322,0.228033120749225,0.02989946468207338,0.2205480381392848,39,9,16,0.07101631055653533,66,0.8588175879885969
NWBGNFF9S9,105,crossover,0.2114970251948175,0.036959070243507655,0.22487255873218537,0.03163598380989686,0.5081629367333164,40,17,8,0.08627306262953037,124,0.7187333504764607
MSA7CPRAGR,105,crossover,0.2639039070945497,0.009978041465330503,0.26579907294571237,0.02198720459590025,0.5357137896472526,5,25,13,0.09198958426712166,112,0.2074361340986812
GQUPN2N0FZ,105,mutation,0.22448118817366935,0.02602740948799124,0.22958036471155108,0.03163691641952511,0.5460071188419925,22,33,10,0.039407533282945516,175,0.549240611205289
O3WS6JB2VB,105,crossover,0.24550405125216712,0.023560793601675754,0.2515524513838152,0.02700837483446179,0.22660953578665033,30,24,10,0.04904080866072266,134,0.2036522715377507
YJK61SD9PW,105,inicialization,0.25875453101649126,0.015955642569803148,0.26328286089579456,0.022176524350437397,0.8594030798352024,57,32,4,0.030730601894070536,196,0.26764655716275254
QUMSZIN98B,105,inicialization,0.2224132955059731,0.027644545476184806,0.2245549486220454,0.032795217577826274,0.8400536612306287,14,11,9,0.1443783755414386,153,0.23972446548422158
6820BKXNYI,105,crossover,0.2552689170088922,0.01612970412511009,0.2621750673867611,0.020825172999086046,0.5007358652902463,23,24,10,0.06386013778372404,67,0.2517736767366994
