id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight,fair_param
UL6D5NMIB6,100,crossover,0.28691047980506557,0.004644120991079394,20,629,1,20,33,1736,6,5
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
N055ID888Q,100,crossover,0.2770988718089663,0.007835759696882938,6,44,0,6,12,630,5,8
ZC20R4LAIP,100,crossover,0.26124408732309956,0.008765973830300033,14,294,0,14,16,294,5,5
FW91FO91JO,100,crossover,0.2612437962341666,0.0150290218470015,16,361,0,16,19,361,5,5
RYNDFVB3CA,100,crossover,0.25975482468134925,0.017250485782352824,14,290,0,14,22,290,5,5
Z9X6J3TS41,100,crossover,0.2544688161746508,0.017330754540223335,13,329,1,13,32,1189,5,4
0FUJRWMFQQ,100,crossover,0.25348904012423445,0.01811363554231101,13,340,1,13,28,663,5,3
1YSN5T9VW7,100,crossover,0.2503057947653192,0.022864434060084114,16,114,0,16,15,114,5,7
TW0C4BK42E,100,crossover,0.2222813603536804,0.024918758287488636,11,213,1,11,37,1079,5,3
U9WEODQAXU,100,mutation,0.2213349038996354,0.02684590344398144,11,222,1,11,26,1499,4,6
KTYMFP1BVI,100,mutation,0.22118624673014475,0.027970013537968852,9,122,1,9,34,1040,4,3
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
SCT5PVI3DC,100,crossover,0.21473982327118546,0.03031865654423191,9,128,0,9,32,1426,4,3
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
CBT4O1T8CL,100,mutation,0.20691709452175644,0.033182618026347616,11,191,0,11,12,191,4,6
XUJXXHXG1V,100,crossover,0.20517660027096607,0.03767245621009149,11,233,0,11,28,863,4,4
FVRTNRZ9NW,100,crossover,0.19980940795643443,0.04307235446683476,12,170,0,12,13,170,4,6
O3L25BW772,100,mutation,0.17528097389295283,0.052922130270286805,12,151,0,12,13,151,3,5
5B6CHB10WF,100,mutation,0.16876800408980652,0.06465874310939623,9,155,0,9,12,186,3,5
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
JLKI7SYHZQ,100,mutation,0.1700053615493422,0.08464566381915273,8,110,0,8,11,207,3,4
